,KNN1,KNN3,KNN5,KNN7,KNN9,RandomForestClassifier
0,0.6388961928154577,0.7117144807939707,0.7195462605775987,0.7141510767294728,0.6995701370280967,0.789086829823015
1,0.6507313275264783,0.7141903661564837,0.7215636011486182,0.7174668663633538,0.7092799180924764,0.7950768535163935
2,0.6585728381158197,0.7281411008288048,0.7363270570561102,0.7249929975718877,0.7128804275159009,0.8008293846161093
3,0.6262489777179657,0.7019937806118437,0.712176017671121,0.7028313543547493,0.6968916103845375,0.7877058559865959
4,0.6530558668752356,0.7190579641613373,0.7278402591242634,0.7237625450356681,0.7135160813071586,0.7943752837659258
5,0.641927437957693,0.7182407829825368,0.7260553711427199,0.7209815801707834,0.715974746048053,0.8008689732275752
6,0.6489057259184706,0.7183128238459292,0.7207670062814606,0.7181017873433166,0.707283222942222,0.7937503124789418
7,0.652550115825415,0.7214601684133785,0.720275734421545,0.709083082314856,0.6973631192891259,0.791339690414772
8,0.6487434400927328,0.7261048708273954,0.7340420732694943,0.7246095398978968,0.7205456857252288,0.7948339292191305
9,0.6445087375446461,0.7161713875533244,0.7275913241636854,0.7228412682710835,0.7088228238935529,0.7866091108746169
10,0.6435544893934018,0.7284784852261522,0.7247707949424776,0.7189803847195784,0.7147640938286235,0.7919693221813384
11,0.644321433410647,0.7120694040184249,0.7145947773084858,0.7064039343725387,0.6995117358033118,0.784715776400576
12,0.6337856920011437,0.699339742593279,0.7144059241447707,0.7088148521772027,0.6999024732974678,0.7829575212600239
13,0.6357287978615508,0.7189902045723592,0.7225354442438229,0.7146197110832585,0.7018875212564004,0.7954907805288653
14,0.6478884735141536,0.7305055300158674,0.737168707244877,0.7212838847768118,0.710379029747909,0.7874555622107309
15,0.6494909379333532,0.720466374360811,0.7255079536593455,0.7221816459694601,0.7097641363552709,0.8005141019267829
16,0.6528683211928472,0.7240380720719546,0.725593402038848,0.7158949614265124,0.7080307269147804,0.7873398749214727
17,0.6328143202463116,0.7160689328806848,0.7249405473018096,0.7109771802372455,0.6985320627866873,0.7931020738420086
18,0.6457913685878865,0.71952485309395,0.7190170185273559,0.7103161618939638,0.7029506583369478,0.7879798837361405
19,0.6540662819226476,0.725997343244351,0.7344535225383975,0.7285589818233997,0.7172979360139315,0.8041281351945118
20,0.6561303429077405,0.7274044611719945,0.7293909985021572,0.7214667458808418,0.7156719020287383,0.7972677805270301
21,0.6436993738827745,0.7153083161786923,0.7173576345941904,0.7042215633294278,0.6973784556548,0.7799280555730664
22,0.649598406671312,0.7251383908075965,0.724273640758951,0.7155136303667317,0.7049144181897176,0.8049619042546137
23,0.6414395361620606,0.7098434753494601,0.7243734683887023,0.7181045287682938,0.706167608235073,0.7960800534249936
24,0.6473064476328894,0.7232418470176903,0.7270363840004754,0.72456288723971,0.7169769838431427,0.8042445403707644
